구,행정동,공원수,도서관수,학원수,어린이집수
종로구,사직동,3,2,24,5
종로구,평창동,0,0,24,5
종로구,창신1동,0,0,24,5
종로구,숭인1동,1,0,24,5
종로구,종로5·6가동,0,0,24,5
종로구,종로1·2·3·4가동,2,0,24,5
종로구,혜화동,1,1,24,5
종로구,이화동,2,2,24,5
종로구,교남동,0,1,24,5
종로구,무악동,0,0,24,5
종로구,청운효자동,1,1,24,5
종로구,부암동,0,0,24,5
중구,황학동,0,0,16,7
중구,신당동,0,1,16,7
중구,회현동,0,0,16,7
중구,중림동,1,2,16,7
중구,필동,0,0,16,7
중구,광희동,0,0,16,7
중구,소공동,0,0,16,7
중구,장충동,0,1,16,7
중구,을지로동,1,0,16,7
중구,명동,0,0,16,7
용산구,한남동,0,0,18,6
용산구,이촌1동,0,0,18,6
용산구,이태원1동,0,0,18,6
용산구,서빙고동,1,0,18,6
용산구,원효로2동,0,0,18,6
용산구,남영동,0,0,18,6
용산구,후암동,0,2,18,6
용산구,용산2가동,1,0,18,6
용산구,용문동,0,0,18,6
용산구,한강로동,0,0,18,6
용산구,효창동,1,0,18,6
용산구,원효로1동,0,0,18,6
용산구,보광동,0,0,18,6
용산구,청파동,0,2,18,6
성동구,옥수동,0,1,44,11
성동구,성수1가1동,1,1,44,11
성동구,왕십리도선동,0,1,44,11
성동구,마장동,0,0,44,11
성동구,응봉동,0,0,44,11
성동구,성수2가1동,0,0,44,11
성동구,행당1동,0,2,44,11
성동구,송정동,0,0,44,11
성동구,왕십리2동,0,0,44,11
성동구,금호4가동,1,0,44,11
성동구,금호1가동,1,1,44,11
성동구,사근동,0,0,44,11
성동구,용답동,0,1,44,11
광진구,광장동,1,2,105,17
광진구,자양1동,0,0,105,17
광진구,군자동,0,1,105,17
광진구,구의1동,0,0,105,17
광진구,중곡1동,0,0,105,17
광진구,화양동,0,0,105,17
광진구,능동,1,0,105,17
동대문구,답십리2동,0,0,80,19
동대문구,장안1동,0,0,80,19
동대문구,제기동,0,1,80,19
동대문구,청량리동,0,1,80,19
동대문구,휘경1동,0,0,80,19
동대문구,전농1동,0,0,80,19
동대문구,용신동,1,3,80,19
동대문구,이문1동,0,0,80,19
동대문구,회기동,0,0,80,19
중랑구,망우3동,0,0,94,28
중랑구,면목2동,0,0,94,28
중랑구,묵1동,0,1,94,28
중랑구,신내1동,0,0,94,28
중랑구,상봉1동,0,0,94,28
중랑구,중화1동,0,0,94,28
성북구,정릉1동,0,0,81,15
성북구,장위1동,0,1,81,15
성북구,종암동,0,1,81,15
성북구,돈암1동,1,0,81,15
성북구,월곡2동,1,2,81,15
성북구,보문동,0,1,81,15
성북구,길음1동,0,1,81,15
성북구,삼선동,0,0,81,15
성북구,석관동,0,1,81,15
성북구,안암동,0,0,81,15
성북구,성북동,1,0,81,15
성북구,동선동,0,0,81,15
강북구,수유1동,0,1,96,25
강북구,미아동,0,1,96,25
강북구,번1동,0,0,96,25
강북구,우이동,1,0,96,25
도봉구,창1동,2,1,148,33
도봉구,방학1동,0,0,148,33
도봉구,쌍문1동,1,2,148,33
도봉구,도봉1동,0,1,148,33
노원구,하계1동,0,1,286,54
노원구,중계본동,0,1,286,54
노원구,상계1동,0,1,286,54
노원구,공릉2동,1,1,286,54
노원구,월계1동,0,1,286,54
은평구,대조동,0,0,98,16
은평구,불광1동,1,1,98,16
은평구,갈현1동,1,0,98,16
은평구,증산동,0,1,98,16
은평구,진관동,3,3,98,16
은평구,신사1동,0,0,98,16
은평구,응암1동,0,0,98,16
은평구,역촌동,0,0,98,16
은평구,녹번동,0,0,98,16
은평구,구산동,0,1,98,16
은평구,수색동,0,0,98,16
서대문구,연희동,2,1,82,13
서대문구,남가좌1동,0,0,82,13
서대문구,홍제1동,0,0,82,13
서대문구,북가좌1동,0,0,82,13
서대문구,천연동,1,1,82,13
서대문구,북아현동,0,0,82,13
서대문구,홍은1동,0,1,82,13
서대문구,충현동,0,0,82,13
서대문구,신촌동,0,0,82,13
마포구,망원1동,0,0,78,11
마포구,아현동,0,0,78,11
마포구,공덕동,0,1,78,11
마포구,서교동,0,1,78,11
마포구,성산1동,0,1,78,11
마포구,신수동,0,0,78,11
마포구,연남동,0,0,78,11
마포구,서강동,1,1,78,11
마포구,상암동,2,1,78,11
마포구,대흥동,0,0,78,11
마포구,도화동,0,0,78,11
마포구,염리동,0,1,78,11
마포구,용강동,0,0,78,11
마포구,합정동,1,0,78,11
마포구,성산2동,1,0,78,11
양천구,목1동,0,0,700,62
양천구,신월1동,0,0,700,62
양천구,신정1동,0,0,700,62
강서구,화곡본동,1,0,172,32
강서구,가양1동,2,0,172,32
강서구,등촌1동,1,0,172,32
강서구,방화1동,0,0,172,32
강서구,우장산동,0,1,172,32
강서구,마곡동,0,0,172,32
강서구,염창동,1,1,172,32
강서구,공항동,0,0,172,32
구로구,개봉2동,0,0,87,25
구로구,구로1동,0,0,87,25
구로구,고척1동,0,1,87,25
구로구,오류1동,1,0,87,25
구로구,신도림동,0,1,87,25
구로구,오류2동,0,0,87,25
구로구,항동,1,1,87,25
구로구,수궁동,0,0,87,25
구로구,가리봉동,0,0,87,25
금천구,시흥1동,0,1,122,36
금천구,독산1동,0,0,122,36
금천구,가산동,0,1,122,36
영등포구,영등포본동,1,0,96,22
영등포구,문래동,0,1,96,22
영등포구,여의동,2,1,96,22
영등포구,당산1동,0,1,96,22
영등포구,신길1동,0,0,96,22
영등포구,양평1동,0,0,96,22
영등포구,대림1동,0,0,96,22
영등포구,도림동,0,0,96,22
영등포구,영등포동,1,0,96,22
동작구,흑석동,0,1,116,20
동작구,신대방1동,0,1,116,20
동작구,사당1동,0,0,116,20
동작구,상도1동,0,1,116,20
동작구,노량진1동,1,0,116,20
동작구,대방동,1,1,116,20
동작구,사당2동,1,0,116,20
동작구,노량진2동,0,2,116,20
관악구,신림동,0,0,241,50
관악구,낙성대동,0,0,241,50
관악구,남현동,0,0,241,50
서초구,반포본동,0,0,259,22
서초구,서초1동,0,0,259,22
서초구,방배본동,0,0,259,22
서초구,잠원동,0,1,259,22
서초구,양재1동,1,1,259,22
서초구,내곡동,2,1,259,22
서초구,양재2동,2,0,259,22
강남구,신사동,0,0,287,14
강남구,도곡1동,1,1,287,14
강남구,개포1동,0,0,287,14
강남구,일원본동,2,1,287,14
강남구,대치1동,0,0,287,14
강남구,압구정동,1,0,287,14
강남구,청담동,1,2,287,14
강남구,삼성1동,1,0,287,14
강남구,역삼1동,0,2,287,14
강남구,수서동,0,0,287,14
강남구,세곡동,1,2,287,14
강남구,논현1동,0,1,287,14
송파구,장지동,0,1,150,21
송파구,거여1동,0,0,150,21
송파구,마천1동,0,1,150,21
송파구,잠실본동,0,1,150,21
송파구,문정1동,1,0,150,21
송파구,송파1동,0,0,150,21
송파구,풍납1동,0,0,150,21
송파구,잠실6동,0,0,150,21
송파구,오금동,1,1,150,21
송파구,가락본동,0,0,150,21
송파구,방이1동,0,0,150,21
송파구,석촌동,0,1,150,21
송파구,삼전동,0,0,150,21
강동구,천호1동,0,0,157,25
강동구,길동,2,1,157,25
강동구,명일1동,1,1,157,25
강동구,둔촌1동,0,0,157,25
강동구,성내1동,0,0,157,25
강동구,암사2동,0,0,157,25
강동구,고덕1동,0,0,157,25
강동구,강일동,0,1,157,25
강동구,상일제2동,0,0,157,25
